Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.71607971191406,94.90049743652344,68.1083755493164,208.79592895507812,153.3232421875,5.972161769866943,72.77660582997152,94.90049743652344,68.1083755493164,208.80587657807078,153.4282456163035,5.972161769866943,71.46681974859514,93.2074966430664,67.00415768648521,205.30239969610878,151.13728025317593,5.892752419133898,71.7210264890596,93.75,67.09970156760528,205.780143782338,151.56683443806205,5.943285685491549,135480400,80580000,27278000,12077100,22622100,237536000
2020-01-03,72.00912475585938,93.74849700927734,67.7520751953125,207.69114685058594,151.4141082763672,5.8765716552734375,72.7717522953066,94.30999755859375,68.36066912200879,209.41302733101944,152.68368996502065,5.920384087732343,71.78396939069293,93.2249984741211,67.04545444931702,205.97921399369764,150.87955063179803,5.827531643498655,71.94133580542943,93.2249984741211,67.07929686090621,206.238004077988,151.12774851363613,5.852425081823098,146322800,75288000,23408000,11188400,21116200,205384000
2020-01-06,72.58290100097656,95.14399719238281,69.55794525146484,211.6027069091797,151.8054962158203,5.901215076446533,72.62163859417052,95.18450164794922,69.58332136437583,211.78185524561292,151.8723232086729,5.906442655101871,70.87606782262263,93.0,67.22858209701914,205.55122615410616,149.3999720884019,5.757082993633497,71.12785848416316,93.0,67.25992638011208,205.7303744905394,149.94408480527218,5.783220886910184,118387200,81236000,46768000,17058900,20813700,262636000
2020-01-07,72.24153900146484,95.34300231933594,69.42359161376953,212.06056213378906,150.42140197753906,5.972659587860107,72.84921605109494,95.69450378417969,69.84109780511007,213.57343627326793,152.41645322528868,6.018463341200832,72.02122310005907,94.60199737548828,69.24693831666055,210.75670959529046,150.17321859278033,5.884537133884927,72.59258596559819,95.2249984741211,69.68982062314994,211.82169766091124,152.08236188799123,5.929594022388191,108872000,80898000,34330000,14912400,21634100,314856000
2020-01-08,73.40363311767578,94.59850311279297,69.917724609375,214.21043395996094,152.81732177734375,5.983861446380615,73.70626361557562,95.55000305175781,70.25660431481994,215.22565353344663,153.4950738351807,6.025184484363847,71.94374389134458,94.3219985961914,69.30017841973043,211.61267650150876,150.7745396996867,5.928349401284013,71.94374389134458,94.9020004272461,69.40915447916457,212.00084645795738,151.71001553116633,5.968427506304748,132079200,70160000,35314000,13475000,27746500,277108000
2020-01-09,74.96279907226562,95.05249786376953,70.65171813964844,217.27597045898438,154.72647094726562,6.0495805740356445,75.15647966923257,95.89099884033203,71.09409928302898,217.35559700611174,154.85056988722462,6.122020297480255,74.13238261481911,94.79000091552734,70.17499344034695,215.2654419088488,153.7146276185013,5.995811048832402,74.3841659131879,95.49449920654297,70.75820366435225,216.51952585487996,154.48782810310033,6.070242095491098,170108400,63346000,33200000,12642800,21385000,255112000
2020-01-10,75.13227081298828,94.15799713134766,71.1080322265625,217.03709411621094,154.01055908203125,6.0819411277771,75.69880172853615,95.34700012207031,71.40561310051638,218.848563919665,155.8051581253616,6.187240048138393,74.62869680726308,94.0,70.64226436176689,216.40009691672174,153.85782414949148,6.067752120336746,75.19764374317383,95.26850128173828,71.13341593357758,218.17174585240141,155.423335359617,6.156870235432352,140644800,57074000,26258000,12119400,20725900,316296000
2020-01-13,76.73741149902344,94.56500244140625,71.65890502929688,220.86904907226562,155.86244201660156,6.2726240158081055,76.76404682603398,94.9000015258789,71.73105459235768,220.9287651891354,155.89107799794456,6.2977662482832395,75.3307854721379,94.04000091552734,70.92939109321708,218.18171750264293,153.93420340107278,6.142431664640482,75.44942165682815,94.56549835205078,71.42103622672836,218.56988744950831,154.41148917759733,6.165084980857148,121532000,55616000,30730000,14463400,21626500,319840000
